t,x,y,theta,v,omega,h,gamma1,gamma2
28.200000,6.698222,-1.447547,-0.644986,0.144354,0.714532,0.018302,0.001000,0.001000
28.300000,6.710057,-1.455806,-0.573532,0.141256,0.733672,0.013401,0.001000,0.001000
28.400000,6.722193,-1.463029,-0.500165,0.144262,0.719327,0.010082,0.001000,0.001000
28.500000,6.735090,-1.469486,-0.428233,0.150233,0.684357,0.007769,0.001000,0.001000
28.600000,6.748959,-1.475252,-0.359797,0.157318,0.638443,0.006009,0.001000,0.001000
28.700000,6.763850,-1.480318,-0.295953,0.165679,0.583505,0.004780,0.001000,0.001000
28.800000,6.779830,-1.484685,-0.237602,0.174472,0.527178,0.003756,0.001000,0.001000
28.900000,6.796887,-1.488343,-0.184884,0.185519,0.468896,0.003024,0.001000,0.001000
29.000000,6.815196,-1.491324,-0.137995,0.200888,0.411192,0.002458,0.001000,0.001000
29.100000,6.835145,-1.493678,-0.096875,0.224542,0.356267,0.001987,0.001000,0.001000
29.200000,6.857528,-1.495451,-0.061249,0.267472,0.301009,0.001620,0.001000,0.001000
29.300000,6.884246,-1.496686,-0.031148,0.359176,0.219979,0.001357,0.001000,0.001000
29.400000,6.920156,-1.497410,-0.009150,0.430160,0.115981,0.001182,0.001000,0.001000
29.500000,6.963171,-1.497554,0.002448,0.412280,0.098099,0.001194,0.001000,0.001000
