t,x,y,theta,v,omega,h,gamma1,gamma2
2.510000,0.395767,0.460331,1.097560,0.438292,-0.198096,0.485585,0.530095,0.184601
2.520000,0.397769,0.464231,1.095579,0.436956,-0.200846,0.480882,0.535106,0.185471
2.530000,0.399772,0.468114,1.093570,0.435591,-0.203669,0.476198,0.540142,0.186342
2.540000,0.401776,0.471981,1.091534,0.434195,-0.206587,0.471492,0.545250,0.187221
2.550000,0.403783,0.475832,1.089468,0.432763,-0.209610,0.466772,0.550421,0.188107
2.560000,0.405790,0.479666,1.087372,0.431301,-0.212721,0.462073,0.555619,0.188993
2.570000,0.407799,0.483482,1.085244,0.429799,-0.215960,0.457333,0.560910,0.189891
2.580000,0.409809,0.487281,1.083085,0.428265,-0.219303,0.452610,0.566234,0.190790
2.590000,0.411820,0.491062,1.080892,0.426699,-0.222750,0.447883,0.571613,0.191694
2.600000,0.413832,0.494825,1.078664,0.425093,-0.226335,0.443129,0.577073,0.192607
2.610000,0.415845,0.498570,1.076401,0.423455,-0.230030,0.438399,0.582558,0.193520
2.620000,0.417858,0.502295,1.074101,0.421776,-0.233878,0.433652,0.588116,0.194441
2.630000,0.419873,0.506000,1.071762,0.420059,-0.237873,0.428903,0.593728,0.195367
2.640000,0.421887,0.509686,1.069383,0.418312,-0.241985,0.424172,0.599373,0.196293
2.650000,0.423902,0.513352,1.066963,0.416519,-0.246289,0.419404,0.605115,0.197232
2.660000,0.425918,0.516997,1.064500,0.414692,-0.250733,0.414657,0.610888,0.198170
2.670000,0.427933,0.520621,1.061993,0.403411,-0.255576,0.409925,0.616696,0.199110
2.680000,0.429903,0.524142,1.059437,0.380467,-0.260752,0.405275,0.622459,0.200038
2.690000,0.431769,0.527458,1.056830,0.359022,-0.265590,0.400891,0.627941,0.200917
2.700000,0.433538,0.530582,1.054174,0.338924,-0.270102,0.396750,0.633163,0.201751
2.710000,0.435216,0.533526,1.051473,0.319923,-0.274333,0.392805,0.638178,0.202548
2.720000,0.436808,0.536301,1.048730,0.302165,-0.278233,0.389089,0.642939,0.203302
2.730000,0.438318,0.538918,1.045947,0.285562,-0.281809,0.385586,0.647459,0.204016
2.740000,0.439753,0.541388,1.043129,0.269888,-0.285116,0.382258,0.651783,0.204696
2.750000,0.441115,0.543718,1.040278,0.255122,-0.288143,0.379097,0.655916,0.205344
2.760000,0.442409,0.545916,1.037397,0.241326,-0.290861,0.376116,0.659839,0.205957
2.770000,0.443639,0.547992,1.034488,0.228433,-0.293286,0.373303,0.663562,0.206537
2.780000,0.444809,0.549954,1.031555,0.216383,-0.295428,0.370647,0.667096,0.207086
2.790000,0.445923,0.551810,1.028601,0.204986,-0.297365,0.368104,0.670497,0.207614
2.800000,0.446983,0.553564,1.025627,0.194325,-0.299043,0.365701,0.673727,0.208113
2.810000,0.447994,0.555224,1.022637,0.184354,-0.300475,0.363430,0.676795,0.208586
2.820000,0.448957,0.556796,1.019632,0.175027,-0.301675,0.361281,0.679709,0.209035
2.830000,0.449876,0.558286,1.016615,0.166301,-0.302656,0.359248,0.682479,0.209460
2.840000,0.450753,0.559698,1.013589,0.158139,-0.303424,0.357319,0.685116,0.209865
2.850000,0.451591,0.561039,1.010554,0.150409,-0.304036,0.355471,0.687653,0.210253
2.860000,0.452392,0.562312,1.007514,0.143156,-0.304474,0.353714,0.690075,0.210623
2.870000,0.453159,0.563521,1.004469,0.136376,-0.304742,0.352046,0.692380,0.210974
2.880000,0.453892,0.564671,1.001422,0.130037,-0.304850,0.350463,0.694576,0.211309
2.890000,0.454595,0.565765,0.998373,0.124109,-0.304811,0.348959,0.696669,0.211627
2.900000,0.455269,0.566807,0.995325,0.118565,-0.304638,0.347527,0.698666,0.211930
2.910000,0.455915,0.567801,0.992279,0.113378,-0.304342,0.346165,0.700573,0.212219
2.920000,0.456537,0.568750,0.989235,0.108526,-0.303933,0.344866,0.702395,0.212495
2.930000,0.457134,0.569655,0.986196,0.103985,-0.303422,0.343627,0.704137,0.212758
2.940000,0.457709,0.570522,0.983162,0.099681,-0.302843,0.342434,0.705819,0.213012
2.950000,0.458263,0.571351,0.980133,0.095621,-0.302194,0.341288,0.707440,0.213256
2.960000,0.458797,0.572144,0.977112,0.091823,-0.301466,0.340192,0.708992,0.213490
2.970000,0.459312,0.572904,0.974097,0.088268,-0.300668,0.339143,0.710481,0.213714
2.980000,0.459809,0.573634,0.971090,0.084942,-0.299807,0.338138,0.711910,0.213929
